City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,west bay,19.3667,-81.4167,29.44,81,90,4.4,KY,1696152510
110,qinzhou,21.95,108.6167,30.97,67,21,3.28,CN,1696152399
111,dambatta,12.433,8.5154,25.93,69,91,6.37,NG,1696152511
112,sola,-13.8833,167.55,24.91,78,100,12.93,VU,1696152511
113,puerto lempira,15.2667,-83.7667,25.67,90,70,1.72,HN,1696152511
114,praia da vitoria,38.7333,-27.0667,19.31,94,20,3.88,PT,1696152220
115,aasiaat,68.7098,-52.8699,-8.37,84,42,4.99,GL,1696152512
116,juneau,58.3019,-134.4197,7.0,95,100,6.17,US,1696152391
117,eket,4.6412,7.9209,28.21,74,74,2.55,NG,1696152513
118,ugoofaaru,5.6667,73.0,27.76,77,73,5.8,MV,1696152513
119,novoagansk,61.9449,76.6625,4.73,57,100,5.65,RU,1696152514
120,kalifornsky,60.4183,-151.29,8.55,73,20,10.29,US,1696152514
121,beaufort west,-32.3567,22.583,13.68,34,0,4.85,ZA,1696152514
122,buka,40.8108,69.1986,28.38,14,20,3.29,UZ,1696152515
123,howard springs,-12.497,131.047,28.95,45,99,3.88,AU,1696152515
124,iskateley,67.6803,53.1512,10.57,98,100,4.02,RU,1696152515
125,fort bragg,35.139,-79.006,15.75,96,0,2.06,US,1696152516
126,colares,38.7992,-9.4469,26.85,59,0,5.81,PT,1696152516
127,kuqa,41.7278,82.9364,24.15,20,7,2.46,CN,1696152516
128,saldanha,-33.0117,17.9442,19.03,54,0,3.46,ZA,1696152517
129,yuzhno-kurilsk,44.0306,145.8556,15.76,96,100,1.83,RU,1696152517
130,manaure,11.7751,-72.4445,28.04,81,100,1.72,CO,1696152517
131,tughyl,47.7252,84.2063,14.19,65,85,3.3,KZ,1696152518
132,sam roi yot,12.2708,99.872,30.99,67,72,1.96,TH,1696152518
133,san clemente del tuyu,-36.3569,-56.7235,7.77,89,4,5.27,AR,1696152518
134,puerto baquerizo moreno,-0.9,-89.6,22.44,89,100,5.15,EC,1696152519
135,port nelson,23.6333,-74.8333,28.97,77,2,6.68,BS,1696152519
136,mejit,10.2753,170.8646,26.42,78,100,2.93,MH,1696152519
137,san ignacio de velasco,-16.3667,-60.95,22.93,51,71,2.23,BO,1696152520
138,chilmari,25.5559,89.6715,32.12,66,85,2.83,BD,1696152520
139,chonchi,-42.6128,-73.8092,6.73,92,100,0.85,CL,1696152520
140,nelson bay,-32.7167,152.15,28.94,42,22,1.79,AU,1696152521
141,ulsteinvik,62.3432,5.8487,13.84,79,46,0.45,NO,1696152521
142,malinyi,-8.9333,36.1333,33.31,33,26,1.77,TZ,1696152521
143,el calafate,-50.3408,-72.2768,3.46,62,2,5.37,AR,1696152522
144,acapulco de juarez,16.8634,-99.8901,27.9,89,75,1.03,MX,1696152522
145,manchester,53.4809,-2.2374,18.24,95,75,3.09,GB,1696151853
146,saint-pierre,-21.3393,55.4781,28.43,65,0,3.6,RE,1696152411
147,salinopolis,-0.6136,-47.3561,26.46,78,93,6.2,BR,1696152523
148,verkhnyaya sinyachikha,57.976,61.6673,14.83,52,14,4.08,RU,1696152523
149,dhuusamarreeb,5.535,46.3861,33.46,40,6,6.3,SO,1696152524
150,businga,3.3333,20.8833,33.55,48,54,0.95,CD,1696152524
151,yaren,-0.5472,166.916,28.68,76,60,2.73,NR,1696152289
152,codrington,-38.2667,141.9667,9.68,75,5,2.86,AU,1696152525
153,burela de cabo,43.65,-7.4,18.43,71,98,0.16,ES,1696152525
